CustomerKey,First Name,Last Name,Full Name,Gender,DateFirstPurchase,Customer City
11400,Franklin,Raji,Franklin Raji,Male,"Sunday, July 15, 2018",London
11408,Darren,Gill,Darren Gill,Male,"Thursday, March 5, 2020",London
11475,Cesar,Subram,Cesar Subram,Male,"Thursday, April 23, 2020",London
11488,Jermaine,Lopez,Jermaine Lopez,Male,"Sunday, October 28, 2018",London
11491,Andre,Perez,Andre Perez,Male,"Wednesday, November 7, 2018",London
11563,Cesar,Srini,Cesar Srini,Male,"Sunday, July 5, 2020",London
11603,Geoffrey,Gonzalez,Geoffrey Gonzalez,Male,"Friday, January 18, 2019",London
12210,Alan,He,Alan He,Male,"Friday, March 15, 2019",London
12233,Jerry,Yuan,Jerry Yuan,Male,"Sunday, January 17, 2021",London
12239,Alberto,Ramos,Alberto Ramos,Male,"Saturday, March 23, 2019",London
12271,Tyrone,Hernandez,Tyrone Hernandez,Male,"Thursday, April 11, 2019",London
12294,Shane,Kovar,Shane Kovar,Male,"Friday, May 22, 2020",London
12304,Alejandro,Zhou,Alejandro Zhou,Male,"Wednesday, September 2, 2020",London
12311,Stanley,Weber,Stanley Weber,Male,"Thursday, September 17, 2020",London
12316,Alejandro,Luo,Alejandro Luo,Male,"Thursday, May 30, 2019",London
12328,Eugene,Zhao,Eugene Zhao,Male,"Tuesday, June 4, 2019",London
12334,Roy,Jimenez,Roy Jimenez,Male,"Saturday, June 13, 2020",London
12381,Johnny,Lal,Johnny Lal,Male,"Wednesday, June 19, 2019",London
12402,Albert,Moreno,Albert Moreno,Male,"Saturday, June 8, 2019",London
12551,Julio,Ramos,Julio Ramos,Male,"Sunday, August 9, 2020",London
12559,Emmanuel,Lopez,Emmanuel Lopez,Male,"Tuesday, July 23, 2019",London
12564,Marshall,Yang,Marshall Yang,Male,"Saturday, March 7, 2020",London
12566,Omar,Yang,Omar Yang,Male,"Sunday, May 31, 2020",London
12595,Mathew,Blanco,Mathew Blanco,Male,"Sunday, March 8, 2020",London
12602,Francisco,Srini,Francisco Srini,Male,"Thursday, February 20, 2020",London
12622,Micheal,Rubio,Micheal Rubio,Male,"Monday, August 19, 2019",London
12634,Derrick,Ruiz,Derrick Ruiz,Male,"Thursday, August 29, 2019",London
12637,Leonard,Nath,Leonard Nath,Male,"Sunday, September 8, 2019",London
13404,Kelvin,Yang,Kelvin Yang,Male,"Monday, December 16, 2019",London
13516,Harold,Ray,Harold Ray,Male,"Wednesday, July 22, 2020",London
13517,Nicolas,Sharma,Nicolas Sharma,Male,"Sunday, December 22, 2019",London
13539,Roger,Guo,Roger Guo,Male,"Wednesday, August 5, 2020",London
13561,Gary,Navarro,Gary Navarro,Male,"Friday, November 29, 2019",London
13604,Nuan,Zheng,Nuan Zheng,Male,"Saturday, October 10, 2020",London
13609,Ramon,Yang,Ramon Yang,Male,"Friday, August 7, 2020",London
13675,Stanley,Sai,Stanley Sai,Male,"Tuesday, June 16, 2020",London
13693,Dominic,Gonzalez,Dominic Gonzalez,Male,"Sunday, February 18, 2018",London
13765,Jaime,Shen,Jaime Shen,Male,"Friday, March 2, 2018",London
13777,Manuel,Perez,Manuel Perez,Male,"Monday, March 26, 2018",London
13785,Clayton,She,Clayton She,Male,"Wednesday, April 29, 2020",London
13820,Danny,Alvarez,Danny Alvarez,Male,"Wednesday, March 28, 2018",London
14156,Preston,Gonzalez,Preston Gonzalez,Male,"Monday, February 10, 2020",London
14157,Willie,Xu,Willie Xu,Male,"Tuesday, April 10, 2018",London
14195,Clinton,Blanco,Clinton Blanco,Male,"Sunday, April 22, 2018",London
14427,Emmanuel,Patel,Emmanuel Patel,Male,"Friday, April 6, 2018",London
14540,Randy,Lin,Randy Lin,Male,"Monday, March 9, 2020",London
14697,Nelson,Jimenez,Nelson Jimenez,Male,"Tuesday, May 29, 2018",London
14712,Eugene,Liu,Eugene Liu,Male,"Sunday, May 20, 2018",London
14776,Ronald,Arthur,Ronald Arthur,Male,"Friday, June 22, 2018",London
14793,Clayton,Nath,Clayton Nath,Male,"Friday, June 8, 2018",London
14806,Damien,Jai,Damien Jai,Male,"Wednesday, April 22, 2020",London
14820,Drew,Bhat,Drew Bhat,Male,"Friday, February 14, 2020",London
14928,Roy,Patel,Roy Patel,Male,"Monday, July 30, 2018",London
14934,Jermaine,Sai,Jermaine Sai,Male,"Tuesday, November 10, 2020",London
14968,Troy,Patel,Troy Patel,Male,"Thursday, July 30, 2020",London
14974,K.,Saravan,K. Saravan,Male,"Tuesday, March 31, 2020",London
15119,Johnny,Tang,Johnny Tang,Male,"Monday, May 25, 2020",London
15653,Gerald,Madan,Gerald Madan,Male,"Friday, November 9, 2018",London
15686,Pedro,Vazquez,Pedro Vazquez,Male,"Wednesday, February 26, 2020",London
16187,Louis,Hu,Louis Hu,Male,"Saturday, August 8, 2020",London
16190,Lance,Alvarez,Lance Alvarez,Male,"Wednesday, March 18, 2020",London
16201,Ross,Martin,Ross Martin,Male,"Friday, January 18, 2019",London
16294,Steve,Hu,Steve Hu,Male,"Sunday, July 5, 2020",London
16311,Carl,Beck,Carl Beck,Male,"Thursday, January 31, 2019",London
16437,Jésus,Gutierrez,Jésus Gutierrez,Male,"Friday, March 20, 2020",London
16546,Terrance,Jordan,Terrance Jordan,Male,"Monday, April 8, 2019",London
16573,Ruben,Dominguez,Ruben Dominguez,Male,"Sunday, April 21, 2019",London
16588,Andre,Martinez,Andre Martinez,Male,"Tuesday, April 30, 2019",London
16599,Ramón,Cai,Ramón Cai,Male,"Thursday, June 18, 2020",London
17087,Jésus,Dominguez,Jésus Dominguez,Male,"Monday, July 20, 2020",London
17094,Julio,Dominguez,Julio Dominguez,Male,"Saturday, June 22, 2019",London
17101,Shannon,Gutierrez,Shannon Gutierrez,Male,"Thursday, March 19, 2020",London
17214,Damien,Liu,Damien Liu,Male,"Thursday, June 6, 2019",London
17626,Alfredo,Blanco,Alfredo Blanco,Male,"Friday, June 28, 2019",London
17628,Roberto,Munoz,Roberto Munoz,Male,"Friday, February 7, 2020",London
17642,Gregory,Luo,Gregory Luo,Male,"Monday, March 30, 2020",London
17645,Albert,Alonso,Albert Alonso,Male,"Thursday, October 1, 2020",London
17743,Gerald,Gomez,Gerald Gomez,Male,"Wednesday, July 3, 2019",London
17772,Leonard,Andersen,Leonard Andersen,Male,"Friday, July 12, 2019",London
17794,Theodore,Rowe,Theodore Rowe,Male,"Friday, August 23, 2019",London
17821,Marvin,Gill,Marvin Gill,Male,"Saturday, April 18, 2020",London
17835,Francisco,Perez,Francisco Perez,Male,"Tuesday, August 25, 2020",London
17841,Walter,Navarro,Walter Navarro,Male,"Monday, August 26, 2019",London
17849,Wesley,He,Wesley He,Male,"Saturday, August 10, 2019",London
17887,Joel,Madan,Joel Madan,Male,"Sunday, September 20, 2020",London
17958,Ricardo,Lal,Ricardo Lal,Male,"Tuesday, September 24, 2019",London
17962,Colin,Zhou,Colin Zhou,Male,"Saturday, September 14, 2019",London
18127,Franklin,He,Franklin He,Male,"Sunday, November 3, 2019",London
18136,Carl,Xie,Carl Xie,Male,"Saturday, November 16, 2019",London
18173,Brent,Zhang,Brent Zhang,Male,"Sunday, November 3, 2019",London
18177,Reginald,Suarez,Reginald Suarez,Male,"Monday, November 4, 2019",London
18181,Neil,Diaz,Neil Diaz,Male,"Tuesday, May 26, 2020",London
18625,Derrick,Moreno,Derrick Moreno,Male,"Wednesday, November 13, 2019",London
19044,Cesar,Rana,Cesar Rana,Male,"Tuesday, November 10, 2020",London
19048,Bryant,Raman,Bryant Raman,Male,"Monday, December 9, 2019",London
19059,George,Rodriguez,George Rodriguez,Male,"Thursday, January 14, 2021",London
19070,Kristopher,Garcia,Kristopher Garcia,Male,"Sunday, December 15, 2019",London
19071,Joe,Jimenez,Joe Jimenez,Male,"Sunday, May 3, 2020",London
19082,Alvin,Zhang,Alvin Zhang,Male,"Saturday, July 4, 2020",London
19172,Calvin,Luo,Calvin Luo,Male,"Wednesday, January 2, 2019",London
19186,Bob,Garcia,Bob Garcia,Male,"Monday, January 21, 2019",London
19258,Douglas,Mehta,Douglas Mehta,Male,"Friday, February 22, 2019",London
19279,Omar,Xu,Omar Xu,Male,"Friday, September 4, 2020",London
19322,Gerald,Romero,Gerald Romero,Male,"Saturday, May 11, 2019",London
19347,Alvin,Zhao,Alvin Zhao,Male,"Monday, January 11, 2021",London
19362,Karl,Raje,Karl Raje,Male,"Saturday, June 8, 2019",London
19477,Lance,Rubio,Lance Rubio,Male,"Monday, September 30, 2019",London
19497,Raul,She,Raul She,Male,"Monday, August 17, 2020",London
19499,Shawn,Black,Shawn Black,Male,"Saturday, November 9, 2019",London
19513,Jessie,Liang,Jessie Liang,Male,"Monday, August 17, 2020",London
19941,Cedric,Liang,Cedric Liang,Male,"Friday, January 12, 2018",London
20054,Clarence,Nara,Clarence Nara,Male,"Tuesday, March 13, 2018",London
20133,Jorge,Li,Jorge Li,Male,"Saturday, July 4, 2020",London
20167,Joe,Serrano,Joe Serrano,Male,"Monday, May 7, 2018",London
20173,Dennis,Zhao,Dennis Zhao,Male,"Wednesday, June 20, 2018",London
20570,George,Martinez,George Martinez,Male,"Friday, April 17, 2020",London
20576,Johnathan,Kapoor,Johnathan Kapoor,Male,"Tuesday, January 1, 2019",London
20592,Jorge,Liu,Jorge Liu,Male,"Thursday, January 24, 2019",London
20712,Colin,Huang,Colin Huang,Male,"Sunday, February 17, 2019",London
20859,Roy,Romero,Roy Romero,Male,"Thursday, May 2, 2019",London
20862,Marshall,Sutton,Marshall Sutton,Male,"Thursday, May 16, 2019",London
20892,Henry,Sara,Henry Sara,Male,"Monday, July 1, 2019",London
20922,Clayton,Wagner,Clayton Wagner,Male,"Friday, August 2, 2019",London
20951,Darrell,Jai,Darrell Jai,Male,"Tuesday, August 11, 2020",London
21026,Clifford,Fernandez,Clifford Fernandez,Male,"Monday, May 4, 2020",London
21046,Terrance,Suri,Terrance Suri,Male,"Sunday, August 16, 2020",London
21110,Brent,Zeng,Brent Zeng,Male,"Friday, February 14, 2020",London
21111,Ricardo,Deng,Ricardo Deng,Male,"Saturday, February 8, 2020",London
21134,Bob,Chapman,Bob Chapman,Male,"Sunday, May 10, 2020",London
21516,Larry,Serrano,Larry Serrano,Male,"Wednesday, December 18, 2019",London
21517,Gerald,Subram,Gerald Subram,Male,"Thursday, December 12, 2019",London
21534,Warren,Rai,Warren Rai,Male,"Thursday, November 28, 2019",London
21540,Ross,Rubio,Ross Rubio,Male,"Wednesday, December 4, 2019",London
21824,Warren,She,Warren She,Male,"Thursday, December 10, 2020",London
21847,Dominic,Madan,Dominic Madan,Male,"Friday, July 24, 2020",London
21848,Jerry,Raje,Jerry Raje,Male,"Monday, June 15, 2020",London
21857,Jay,Dominguez,Jay Dominguez,Male,"Friday, January 24, 2020",London
21858,Curtis,Lin,Curtis Lin,Male,"Monday, January 20, 2020",London
22434,Billy,Schmidt,Billy Schmidt,Male,"Sunday, October 18, 2020",London
22460,Julio,Torres,Julio Torres,Male,"Sunday, October 11, 2020",London
22468,Ruben,Gonzalez,Ruben Gonzalez,Male,"Monday, November 16, 2020",London
22520,Rodney,Torres,Rodney Torres,Male,"Wednesday, October 14, 2020",London
22596,Omar,Xu,Omar Xu,Male,"Sunday, November 1, 2020",London
22599,Philip,Gill,Philip Gill,Male,"Wednesday, November 11, 2020",London
22614,Tommy,Shan,Tommy Shan,Male,"Saturday, January 18, 2020",London
22622,Neil,Sanz,Neil Sanz,Male,"Thursday, August 27, 2020",London
22686,Wayne,Anand,Wayne Anand,Male,"Wednesday, March 11, 2020",London
22687,Javier,Jiménez,Javier Jiménez,Male,"Sunday, December 29, 2019",London
22695,Darren,Martin,Darren Martin,Male,"Tuesday, March 10, 2020",London
22813,Jerry,Deng,Jerry Deng,Male,"Tuesday, October 27, 2020",London
22837,Sergio,Chandra,Sergio Chandra,Male,"Saturday, September 12, 2020",London
22869,Rafael,Lu,Rafael Lu,Male,"Saturday, September 19, 2020",London
23232,Frank,Serrano,Frank Serrano,Male,"Monday, April 6, 2020",London
23235,Cedric,Pal,Cedric Pal,Male,"Tuesday, February 4, 2020",London
23607,Wayne,She,Wayne She,Male,"Tuesday, January 14, 2020",London
23625,Micheal,Navarro,Micheal Navarro,Male,"Saturday, October 17, 2020",London
23629,Alfredo,Gill,Alfredo Gill,Male,"Friday, February 7, 2020",London
23907,Hector,Navarro,Hector Navarro,Male,"Tuesday, May 5, 2020",London
23954,Jonathon,Serrano,Jonathon Serrano,Male,"Wednesday, April 8, 2020",London
24034,Pedro,Ruiz,Pedro Ruiz,Male,"Wednesday, June 17, 2020",London
